CustomerID,Age,Gender,City,Education,IncomeBracket,AnnualSpend,MembershipTier,TenureMonths,TotalOrders
C1150,39,Female,Bangalore,Bachelor's,200k+,69975.22,Silver,16,26
C1151,31,Male,Pune,Bachelor's,25k-50k,5736.75,Silver,46,5
C1152,32,Female,Bangalore,PhD,25k-50k,6625.4,Silver,12,1
C1153,43,Female,Hyderabad,Bachelor's,100k-200k,24368.04,Basic,58,6
C1154,23,Female,Ahmedabad,Master's,25k-50k,8379.43,Gold,5,1
C1155,49,Male,Mumbai,High School,100k-200k,21752.48,Gold,7,9
C1156,26,Female,Bangalore,Master's,50k-100k,11626.39,Basic,41,2
C1157,45,Other,Kolkata,Bachelor's,100k-200k,37137.72,Basic,5,9
C1158,27,Female,Delhi,Bachelor's,25k-50k,6683.12,Silver,2,2
C1159,45,Male,Mumbai,PhD,25k-50k,13129.14,Basic,44,4
C1160,48,Female,Delhi,Bachelor's,50k-100k,16550.58,Silver,25,6
C1161,40,Male,Ahmedabad,Bachelor's,<25k,3128.08,Basic,24,1
C1162,35,Male,Chennai,Master's,100k-200k,34809.51,Silver,43,14
C1163,50,Female,Hyderabad,Master's,100k-200k,44849.33,Basic,50,8
C1164,35,Male,Bangalore,Bachelor's,50k-100k,18818.73,Basic,9,4
C1165,18,Male,Mumbai,Bachelor's,<25k,2638.46,Platinum,59,1
C1166,23,Male,Pune,Master's,25k-50k,6827.19,Silver,16,1
C1167,41,Male,Mumbai,Bachelor's,100k-200k,26144.12,Silver,39,7
C1168,18,Female,Bangalore,Bachelor's,50k-100k,25550.98,Basic,22,5
C1169,38,Female,Bangalore,Bachelor's,50k-100k,8414.45,Silver,16,1
C1170,32,Female,Bangalore,Master's,200k+,46501.81,Basic,48,15
C1171,46,Male,Pune,Bachelor's,100k-200k,57607.1,Silver,47,16
C1172,56,Male,Pune,Bachelor's,100k-200k,33468.74,Platinum,11,9
C1173,29,Male,Delhi,Master's,25k-50k,8251.7,Silver,42,2
C1174,36,Male,Chennai,High School,<25k,2077.85,Silver,30,1
C1175,26,Male,Mumbai,Bachelor's,50k-100k,20736.02,Basic,46,5
C1176,38,Male,Ahmedabad,Bachelor's,50k-100k,7038.72,Gold,32,1
C1177,39,Female,Pune,High School,50k-100k,8416.17,Platinum,51,2
C1178,29,Male,Bangalore,High School,25k-50k,7363.32,Silver,30,1
C1179,43,Female,Delhi,Bachelor's,25k-50k,5220.26,Silver,45,2
C1180,22,Male,Delhi,Master's,50k-100k,28860.86,Silver,44,5
C1181,24,Male,Ahmedabad,Master's,50k-100k,12276.02,Silver,1,4
C1182,21,Male,Ahmedabad,Bachelor's,50k-100k,21473.55,Basic,4,7
C1183,45,Male,Chennai,High School,100k-200k,53308.15,Silver,16,14
C1184,32,Male,Bangalore,High School,25k-50k,7788.66,Silver,11,1
C1185,34,Female,Ahmedabad,Bachelor's,25k-50k,9896.73,Basic,56,2
C1186,18,Male,Mumbai,Master's,25k-50k,9012.71,Basic,4,3
C1187,51,Female,Bangalore,Master's,100k-200k,49226.65,Gold,16,12
C1188,35,Female,Kolkata,High School,25k-50k,9645.06,Basic,7,5
C1189,32,Female,Bangalore,Master's,100k-200k,48096.1,Basic,15,17
C1190,45,Female,Pune,PhD,50k-100k,17226.18,Gold,58,8
C1191,22,Female,Hyderabad,High School,50k-100k,22314.85,Silver,28,9
C1192,48,Male,Bangalore,Master's,100k-200k,46015.49,Basic,56,13
C1193,44,Male,Mumbai,Bachelor's,25k-50k,11192.75,Silver,5,3
C1194,21,Female,Delhi,Master's,50k-100k,15650.34,Basic,56,4
C1195,31,Male,Pune,Master's,<25k,2786.46,Basic,59,1
C1196,25,Female,Hyderabad,Master's,25k-50k,6732.65,Platinum,52,1
C1197,40,Female,Kolkata,Bachelor's,50k-100k,17543.71,Basic,16,2
C1198,50,Male,Mumbai,Bachelor's,25k-50k,7574.06,Platinum,20,1
C1199,35,Male,Pune,Master's,25k-50k,8239.68,Gold,42,1
C1200,43,Female,Ahmedabad,High School,<25k,2631.41,Silver,52,1
C1201,19,Male,Pune,Bachelor's,50k-100k,14897.29,Basic,47,5
C1202,24,Male,Delhi,Bachelor's,25k-50k,4143.73,Gold,58,3
C1203,32,Female,Ahmedabad,High School,50k-100k,20643.51,Basic,14,7
C1204,31,Female,Bangalore,Master's,50k-100k,19996.03,Basic,6,5
C1205,25,Female,Bangalore,Bachelor's,<25k,1467.24,Basic,10,1
C1206,51,Male,Delhi,Master's,100k-200k,21531.42,Silver,16,7
C1207,44,Other,Chennai,PhD,50k-100k,21903.99,Basic,38,8
C1208,27,Female,Hyderabad,Bachelor's,50k-100k,11589.86,Basic,43,1
C1209,20,Female,Mumbai,PhD,100k-200k,20687.27,Platinum,26,8
C1210,30,Male,Bangalore,Bachelor's,25k-50k,9027.33,Gold,30,1
C1211,18,Male,Mumbai,High School,25k-50k,12268.02,Gold,22,3
C1212,43,Female,Ahmedabad,Bachelor's,100k-200k,42954.16,Basic,21,12
C1213,36,Female,Mumbai,Bachelor's,100k-200k,31109.69,Basic,19,5
C1214,44,Other,Hyderabad,Bachelor's,25k-50k,7114.79,Basic,56,1
C1215,34,Female,Pune,PhD,100k-200k,49508.65,Gold,39,10
C1216,47,Male,Mumbai,High School,25k-50k,9584.73,Gold,31,2
C1217,32,Male,Bangalore,High School,25k-50k,5195.97,Silver,4,1
C1218,36,Male,Kolkata,High School,<25k,3159.03,Basic,15,2
C1219,48,Male,Mumbai,High School,25k-50k,9402.22,Basic,15,2
C1220,21,Male,Pune,Bachelor's,25k-50k,6735.17,Silver,25,2
C1221,18,Male,Kolkata,Master's,100k-200k,30040.24,Silver,45,8
C1222,28,Male,Hyderabad,Bachelor's,25k-50k,8997.26,Basic,40,2
C1223,41,Other,Hyderabad,Master's,25k-50k,5841.01,Gold,16,1
C1224,41,Female,Mumbai,Bachelor's,<25k,1934.43,Basic,44,1
C1225,34,Female,Hyderabad,Bachelor's,25k-50k,8344.76,Basic,5,1
C1226,33,Female,Mumbai,Bachelor's,<25k,4201.69,Platinum,19,2
C1227,31,Male,Pune,Master's,100k-200k,31752.22,Silver,30,6
C1228,35,Female,Mumbai,High School,100k-200k,52443.27,Basic,43,18
C1229,34,Female,Hyderabad,Master's,200k+,36049.9,Silver,46,3
C1230,43,Female,Delhi,Bachelor's,100k-200k,35330.15,Basic,20,11
C1231,18,Male,Delhi,Master's,25k-50k,6770.53,Basic,38,2
C1232,45,Male,Pune,Bachelor's,100k-200k,53612.57,Silver,18,13
C1233,21,Female,Kolkata,Master's,100k-200k,22776.42,Platinum,31,5
C1234,32,Female,Ahmedabad,Bachelor's,25k-50k,4635.94,Basic,59,2
C1235,37,Male,Pune,Bachelor's,100k-200k,32126.41,Basic,35,9
C1236,39,Female,Hyderabad,PhD,200k+,104738.02,Platinum,9,39
C1237,55,Female,Mumbai,Master's,50k-100k,7277.67,Gold,8,1
C1238,42,Male,Kolkata,Master's,50k-100k,20951.36,Silver,23,3
C1239,39,Male,Chennai,Bachelor's,50k-100k,22339.11,Silver,19,3
C1240,33,Female,Mumbai,High School,50k-100k,23217.94,Basic,58,8
C1241,33,Male,Mumbai,Master's,25k-50k,6865.17,Basic,4,3
C1242,21,Female,Mumbai,Master's,25k-50k,9646.75,Silver,27,3
C1243,19,Male,Bangalore,Master's,<25k,2167.88,Gold,5,1
C1244,29,Female,Chennai,Bachelor's,50k-100k,15963.42,Silver,35,1
C1245,37,Female,Ahmedabad,High School,50k-100k,13504.53,Gold,51,2
C1246,45,Male,Bangalore,Bachelor's,25k-50k,4991.4,Silver,8,1
C1247,28,Male,Bangalore,PhD,50k-100k,10599.9,Basic,41,1
C1248,25,Male,Delhi,Master's,50k-100k,12110.17,Basic,41,4
C1249,30,Male,Delhi,Bachelor's,200k+,73654.11,Gold,16,15
C1250,32,Male,Bangalore,Master's,50k-100k,13319.82,Basic,24,4
C1251,43,Female,Ahmedabad,Master's,100k-200k,34816.48,Silver,24,15
C1252,52,Male,Bangalore,High School,25k-50k,7035.63,Silver,34,2
C1253,37,Male,Hyderabad,Bachelor's,25k-50k,4759.37,Platinum,14,1
C1254,26,Male,Delhi,Master's,100k-200k,41426.1,Basic,7,8
C1255,30,Female,Bangalore,PhD,50k-100k,9271.98,Gold,39,3
C1256,31,Male,Hyderabad,Master's,50k-100k,22298.77,Basic,37,5
C1257,26,Male,Pune,Bachelor's,50k-100k,19098.98,Silver,21,2
C1258,35,Other,Delhi,Bachelor's,50k-100k,22895.71,Basic,29,7
C1259,18,Male,Mumbai,Master's,50k-100k,15489.94,Platinum,28,12
C1260,45,Female,Ahmedabad,Master's,200k+,59141.08,Basic,42,17
C1261,37,Female,Kolkata,Bachelor's,25k-50k,5845.89,Basic,9,3
C1262,48,Female,Bangalore,Master's,200k+,71578.63,Basic,39,17
C1263,42,Female,Bangalore,Bachelor's,50k-100k,19153.54,Silver,51,4
C1264,26,Male,Mumbai,Master's,50k-100k,18512.73,Silver,22,8
C1265,50,Male,Hyderabad,Bachelor's,50k-100k,16492.45,Silver,35,4
C1266,48,Female,Hyderabad,High School,25k-50k,6652.77,Silver,54,3
C1267,39,Female,Bangalore,High School,25k-50k,10055.82,Gold,31,1
C1268,31,Male,Pune,High School,25k-50k,6903.93,Platinum,44,2
C1269,22,Female,Bangalore,Master's,100k-200k,36520.76,Basic,32,6
C1270,31,Female,Pune,Bachelor's,100k-200k,28814.07,Silver,14,6
C1271,34,Female,Mumbai,Master's,100k-200k,40031.74,Silver,38,5
C1272,37,Female,Kolkata,PhD,25k-50k,3212.19,Platinum,52,1
C1273,47,Female,Chennai,High School,100k-200k,17097.69,Basic,38,4
C1274,25,Female,Mumbai,High School,25k-50k,6253.9,Basic,43,1
C1275,40,Male,Chennai,Bachelor's,100k-200k,32279.32,Platinum,19,8
C1276,26,Male,Hyderabad,Bachelor's,50k-100k,15990.31,Basic,44,4
C1277,40,Female,Kolkata,Master's,<25k,3269.74,Silver,17,1
C1278,18,Female,Bangalore,High School,25k-50k,9713.01,Basic,43,1
C1279,35,Male,Chennai,High School,<25k,3435.77,Gold,23,1
C1280,28,Male,Delhi,Bachelor's,25k-50k,10512.6,Silver,56,1
C1281,19,Female,Chennai,Bachelor's,<25k,1831.34,Basic,29,1
C1282,41,Male,Pune,High School,100k-200k,28689.54,Silver,28,6
C1283,36,Female,Bangalore,Bachelor's,25k-50k,5272.57,Gold,43,2
C1284,28,Female,Hyderabad,High School,50k-100k,14398.75,Basic,39,4
C1285,42,Other,Mumbai,High School,25k-50k,9890.96,Basic,56,3
C1286,57,Female,Pune,Bachelor's,100k-200k,36512.04,Basic,50,16
C1287,31,Female,Ahmedabad,Bachelor's,<25k,2510.27,Platinum,34,1
C1288,21,Female,Chennai,Bachelor's,25k-50k,4811.01,Basic,22,1
C1289,21,Female,Ahmedabad,Bachelor's,25k-50k,7989.3,Silver,17,3
C1290,34,Female,Kolkata,Bachelor's,50k-100k,22843.81,Silver,4,6
C1291,39,Female,Delhi,Bachelor's,200k+,29673.84,Basic,12,2
C1292,18,Male,Kolkata,PhD,50k-100k,14268.93,Platinum,32,4
C1293,28,Female,Ahmedabad,Master's,<25k,2450.53,Basic,36,1
C1294,60,Female,Ahmedabad,Bachelor's,200k+,88746.77,Silver,34,19
C1295,42,Male,Mumbai,Bachelor's,25k-50k,6628.22,Gold,18,1
C1296,30,Female,Bangalore,Bachelor's,50k-100k,22428.96,Platinum,45,8
C1297,63,Female,Mumbai,High School,50k-100k,11760.84,Silver,23,2
C1298,28,Male,Pune,High School,25k-50k,7859.93,Basic,47,1
C1299,36,Female,Kolkata,Master's,100k-200k,31619.45,Silver,47,9
C1300,30,Male,Hyderabad,Master's,25k-50k,8910.47,Basic,39,2
C1301,31,Female,Mumbai,High School,100k-200k,43621.06,Basic,32,13
C1302,26,Male,Mumbai,Bachelor's,<25k,1722.18,Basic,38,1
C1303,36,Male,Kolkata,Bachelor's,50k-100k,29001.62,Basic,16,8
C1304,24,Male,Mumbai,Bachelor's,<25k,3066.01,Basic,57,1
C1305,47,Female,Kolkata,Bachelor's,50k-100k,18275.89,Silver,23,3
C1306,26,Female,Kolkata,Bachelor's,50k-100k,18440.0,Basic,5,3
C1307,38,Male,Bangalore,Bachelor's,100k-200k,10606.99,Basic,8,3
C1308,18,Female,Pune,Bachelor's,50k-100k,12139.68,Basic,46,5
C1309,27,Male,Hyderabad,High School,25k-50k,8359.85,Silver,57,2
C1310,44,Male,Pune,Bachelor's,200k+,59639.57,Silver,59,10
C1311,33,Female,Bangalore,PhD,100k-200k,40528.36,Silver,26,7
C1312,37,Male,Mumbai,Master's,25k-50k,9663.93,Platinum,43,3
C1313,41,Male,Kolkata,Master's,25k-50k,7304.91,Silver,55,4
C1314,33,Male,Kolkata,High School,25k-50k,7159.82,Gold,11,1
C1315,40,Female,Delhi,High School,25k-50k,9171.98,Basic,29,3
C1316,24,Female,Mumbai,Bachelor's,50k-100k,13562.85,Silver,39,7
C1317,52,Female,Hyderabad,High School,50k-100k,25744.9,Silver,17,7
C1318,28,Female,Ahmedabad,High School,25k-50k,5715.39,Silver,40,2
C1319,32,Male,Delhi,Bachelor's,50k-100k,23410.21,Gold,10,4
C1320,39,Female,Bangalore,Bachelor's,25k-50k,10869.03,Silver,15,2
C1321,40,Female,Mumbai,Bachelor's,50k-100k,24874.43,Silver,13,11
C1322,32,Female,Kolkata,Master's,25k-50k,8944.62,Silver,1,2
C1323,25,Male,Chennai,Bachelor's,25k-50k,10448.67,Gold,14,2
C1324,27,Male,Ahmedabad,Master's,25k-50k,8735.05,Silver,56,1
C1325,32,Female,Ahmedabad,Master's,25k-50k,7529.04,Basic,39,2
C1326,23,Male,Bangalore,Master's,25k-50k,5139.75,Platinum,15,1
C1327,25,Female,Hyderabad,Bachelor's,25k-50k,6378.22,Basic,52,1
C1328,18,Male,Chennai,Master's,50k-100k,14751.77,Gold,32,6
C1329,38,Female,Delhi,High School,100k-200k,31446.16,Gold,42,6
C1330,22,Female,Bangalore,Master's,50k-100k,21255.2,Basic,12,2
C1331,29,Male,Delhi,Bachelor's,50k-100k,24085.43,Gold,21,6
C1332,32,Male,Mumbai,Bachelor's,<25k,2786.46,Gold,32,1
C1333,21,Male,Mumbai,Bachelor's,<25k,2202.86,Silver,14,2
C1334,50,Male,Mumbai,High School,25k-50k,11995.98,Platinum,49,3
C1335,31,Male,Hyderabad,Bachelor's,25k-50k,8786.12,Silver,40,1
C1336,42,Female,Ahmedabad,Bachelor's,100k-200k,52830.97,Platinum,35,16
C1337,34,Female,Bangalore,High School,25k-50k,6532.41,Basic,46,2
C1338,40,Male,Ahmedabad,Master's,50k-100k,10256.08,Basic,1,1
C1339,33,Female,Mumbai,Bachelor's,50k-100k,24461.71,Gold,35,8
C1340,47,Male,Hyderabad,Master's,100k-200k,33026.14,Basic,59,4
C1341,29,Male,Pune,Bachelor's,50k-100k,24512.89,Silver,44,7
C1342,40,Male,Pune,Bachelor's,25k-50k,5941.07,Platinum,21,1
C1343,38,Female,Pune,Master's,100k-200k,10456.79,Gold,36,4
C1344,36,Female,Chennai,Master's,50k-100k,19661.46,Basic,14,2
C1345,31,Female,Delhi,High School,50k-100k,19814.13,Gold,12,4
C1346,34,Female,Bangalore,Bachelor's,200k+,50457.16,Basic,10,13
C1347,18,Female,Hyderabad,Bachelor's,<25k,3117.8,Basic,47,1
C1348,18,Female,Pune,Master's,25k-50k,3795.08,Gold,31,2
C1349,40,Male,Hyderabad,Bachelor's,50k-100k,15136.17,Basic,20,6
C1350,30,Male,Hyderabad,High School,25k-50k,7499.62,Gold,20,1
C1351,34,Male,Mumbai,Bachelor's,25k-50k,12637.12,Silver,39,2
C1352,18,Female,Pune,Master's,25k-50k,7155.21,Basic,47,2
C1353,33,Male,Pune,High School,50k-100k,19972.61,Basic,41,7
C1354,32,Female,Mumbai,High School,50k-100k,16306.74,Silver,1,5
C1355,26,Female,Delhi,High School,<25k,3766.77,Gold,48,1
C1356,37,Female,Chennai,Bachelor's,50k-100k,21313.18,Silver,18,8
C1357,29,Female,Bangalore,Master's,50k-100k,16234.55,Silver,6,1
